ScheduleID,ScheduleName,ScheduleType,PackageRoundID,StartDate,EndDate
04171468-6712-4f88-9a38-6bcc02505bdc,Green Lawn Pkg,Package,541204f6-3416-457f-a5b5-dc7243264e07,8/31/2020,10/17/2020
04171468-6712-4f88-9a38-6bcc02505bdc,Green Lawn Pkg,Package,a3cfebab-6076-40a4-b9a3-d5b51fef9d4a,10/12/2020,11/14/2020
04171468-6712-4f88-9a38-6bcc02505bdc,Green Lawn Pkg,Package,23f29b15-bab8-4e0a-85db-8baf1ee261e7,11/16/2020,12/26/2020
04171468-6712-4f88-9a38-6bcc02505bdc,Green Lawn Pkg,Package,dd07b245-d26e-4960-baaf-d5244cb63bff,2/15/2021,4/3/2021
04171468-6712-4f88-9a38-6bcc02505bdc,Green Lawn Pkg,Package,0f1b83c3-af23-4a7d-aa12-3b986882302e,4/5/2021,5/22/2021
04171468-6712-4f88-9a38-6bcc02505bdc,Green Lawn Pkg,Package,84f75a4d-267f-40e5-9248-3f4c001631a6,5/24/2021,7/3/2021
04171468-6712-4f88-9a38-6bcc02505bdc,Green Lawn Pkg,Package,9d7bad47-a67e-4f93-b2f7-eec18cb20fcc,7/12/2021,8/28/2021
04171468-6712-4f88-9a38-6bcc02505bdc,Green Lawn Pkg,Package,edeb8ba7-0da5-4a02-bfd3-5934189b36b1,8/30/2021,10/16/2021
04171468-6712-4f88-9a38-6bcc02505bdc,Green Lawn Pkg,Package,a76293b5-e081-4a01-a959-e2deb8ef2cbe,10/11/2021,11/13/2021
04171468-6712-4f88-9a38-6bcc02505bdc,Green Lawn Pkg,Package,b714185a-9e9b-4bad-b2fc-87e08d0ecbc5,11/15/2021,12/24/2021
04171468-6712-4f88-9a38-6bcc02505bdc,Green Lawn Pkg,Package,1808a4cb-7c16-4b6d-ac6d-ea4828322ab6,2/14/2022,4/2/2022
04171468-6712-4f88-9a38-6bcc02505bdc,Green Lawn Pkg,Package,849a294c-4787-4656-bace-8033939f64bd,4/4/2022,5/21/2022
